;dur_ttl;dur_ttl;dur_ttl;dur_outer;dur_outer;dur_outer;dow;time
;sum;median;mean;sum;median;mean;;
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;2962.53800392;2962.53800392;2962.53800392;487.909078598;487.909078598;487.909078598;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;278994.7421550648;10425.793886200001;13285.463912145944;213365.75031278617;8774.64818954;10160.27382441839;0;00:00:00
00:00:00;8543.630599979999;1113.0404472375;1067.9538249974999;4543.880701068077;516.6354179383;567.9850876335096;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;38391.297817229;1769.6390152;2953.1767551714615;19649.6932506593;1560.77384949;1511.5148654353309;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;15834.778070479999;7917.389035239999;7917.389035239999;4352.42295265;2176.211476325;2176.211476325;0;00:00:00
00:00:00;16505.2678585084;1844.42186356;1833.9186509453777;10241.44268035896;91.6979312897;1137.9380755954398;0;00:00:00
00:00:00;19033.8649749896;1246.09899521;1001.7823671047157;17533.208847057613;1157.00936317;922.8004656346112;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;16198.887586604222;88.11402320865;809.9443793302111;14922.242879861054;71.47347927095;746.1121439930528;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;7637.326478962458;149.80316162100002;477.33290493515364;7128.14450263813;134.3104839325;445.5090314148831;0;00:00:00
00:00:00;2042.4239635438498;1021.2119817719249;1021.2119817719249;1913.34080696103;956.670403480515;956.670403480515;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;407471.42291059357;1059.18002129;1748.8043901742212;310372.016429906;436.459779739;1332.0687400425152;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;49218.000411986;535.136461258;2460.9000205993;30710.996627810408;327.054381371;1535.5498313905205;0;00:00:00
00:00:00;105059.35955052738;152.827501297;2387.7127170574404;50358.90340807401;129.2134523395;1144.520532001682;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;18.76997947694;9.38498973847;9.38498973847;1.217126846313;0.6085634231565;0.6085634231565;0;00:00:00
00:00:00;2032.707452774;331.29715919499995;338.78457546233335;1728.7969589240001;287.7122163775;288.1328264873334;0;00:00:00
00:00:00;1296.2319850905399;648.1159925452699;648.1159925452699;1233.435630797837;616.7178153989184;616.7178153989184;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:00:00
00:00:00;1625.1120567276198;253.73101234400002;541.7040189092066;1542.2902107240209;232.91301727299998;514.096736908007;0;00:00:00
00:00:00;2249.20034408363;6.37698173523;321.31433486909003;2139.561653133196;0.860929489136;305.65166473331374;0;00:00:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;66990.93151089949;191.41137599950002;1456.3245980630325;57742.4802780153;154.446840286;1255.271310391637;0;00:30:00
00:30:00;1238.80314827;1238.80314827;1238.80314827;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;5604.54559326294;145.53952217100002;215.55944589472847;2554.9716949454005;79.2279243469;98.26814211328464;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;37131.457090384996;2371.69194221;4125.717454487221;15257.4481964191;1584.92541313;1695.2720218243444;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;1395.11585235567;68.11642646775;348.7789630889175;1218.93882751556;26.89993381501;304.73470687889;0;00:30:00
00:30:00;20965.005159383603;1171.73504829;911.521963451461;19517.32134818787;1153.35607529;848.5791890516465;0;00:30:00
00:30:00;37.476062774649996;6.0069561004650005;6.246010462441666;8.064031600957001;1.41501426697;1.3440052668261668;0;00:30:00
00:30:00;7.1280002594;7.1280002594;7.1280002594;1.00708007812;1.00708007812;1.00708007812;0;00:30:00
00:30:00;13220.752954483487;113.80851268800001;413.14852982760897;12258.860826497066;104.8897504805;383.0894008280333;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;0.0;0.0;0.0;0.0;0.0;0.0;0;00:30:00
00:30:00;4667.48619079338;345.22747993499996;466.748619079338;4378.960609434029;326.2363672255;437.89606094340286;0;00:30:00
